dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,orc+zstd,20830,3.0068,80.61,335.07
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,parquet+brotli,21734,2.8817,1.8,124.5
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,parquet+gzip,23870,2.6238,49.55,135.83
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,parquet+snappy,30690,2.0408,104.74,2.38
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,parquet+zstd,22910,2.7338,13.62,177.38
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,polypress,13801,4.5381,1.66,54.0
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,polypress+brotli,13664,4.5837,,
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,polypress+zstd,15416,4.0627,,
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,polypress-turbo,13934,4.4948,1.69,80.29
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,xz -9e,14576,4.2969,4.96,22.38
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,zstd -19,15381,4.072,3.35,24.38
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,zstd -22,15381,4.072,1.16,20.2
datacatalog_medical_examiner_unidentified_persons_y8dh-5w5c.csv,62631,339,12,zstd -3,17484,3.5822,23.22,26.03
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,brotli -q11,15682,4.0518,1.32,25.67
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,bzip2 -9,15395,4.1274,15.18,25.8
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,feather+lz4,47882,1.327,373.79,552.93
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,feather+zstd,27826,2.2835,231.15,400.17
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,gzip -9,18833,3.3739,10.58,33.85
