dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,feather+zstd,39586,2.7625,808.94,1105.22
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,gzip -9,29931,3.6536,18.96,59.92
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,lz4 -9,35872,3.0485,26.98,54.82
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,orc+snappy,43701,2.5023,197.79,350.4
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,orc+zlib,29951,3.6511,109.26,356.39
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,orc+zstd,29097,3.7583,178.75,604.31
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,parquet+brotli,31374,3.4855,2.17,234.13
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,parquet+gzip,34351,3.1835,44.57,321.65
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,parquet+snappy,48731,2.2441,180.79,4.18
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,parquet+zstd,31972,3.4203,13.65,387.72
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,polypress,22665,4.8248,1.61,50.65
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,polypress+brotli,24460,4.4708,,
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,polypress+zstd,27391,3.9924,,
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,xz -9e,25664,4.261,6.08,33.02
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,zstd -19,27496,3.9771,3.66,37.69
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,zstd -22,27496,3.9771,1.65,35.24
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,zstd -3,31991,3.4183,34.51,43.92
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,brotli -q11,22498,5.69,1.14,44.6
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,bzip2 -9,17100,7.4861,19.81,42.49
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,feather+lz4,65178,1.9641,714.95,1104.78
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,feather+zstd,39890,3.2092,743.66,1195.83
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,gzip -9,26294,4.8685,10.61,70.72
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,lz4 -9,35504,3.6056,22.81,60.55
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,orc+snappy,24827,5.1562,230.24,633.91
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,orc+zlib,17388,7.3621,173.76,695.5
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,orc+zstd,15988,8.0068,287.74,1130.37
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,parquet+brotli,36753,3.4831,1.45,271.31
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,parquet+gzip,39505,3.2404,36.12,377.32
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,parquet+snappy,53458,2.3946,219.51,4.84
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,parquet+zstd,36180,3.5382,12.11,447.44
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,polypress,14910,8.5857,1.43,105.61
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,polypress+brotli,14356,8.917,,
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,polypress+zstd,15178,8.4341,,
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,xz -9e,21340,5.9987,5.52,38.86
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,zstd -19,23654,5.4119,3.44,45.22
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,zstd -22,23654,5.4119,1.74,41.31
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,zstd -3,29600,4.3248,40.55,52.04
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,brotli -q11,32315,4.2555,1.23,46.39
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,bzip2 -9,34255,4.0145,18.71,35.75
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,feather+lz4,83210,1.6526,558.9,823.97
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,feather+zstd,55330,2.4854,730.1,969.38
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,gzip -9,43402,3.1684,14.47,73.58
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,lz4 -9,51538,2.6682,26.48,60.06
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,orc+snappy,65905,2.0866,177.42,373.8
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,orc+zlib,48402,2.8411,80.99,289.4
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,orc+zstd,46740,2.9421,143.37,498.51
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,parquet+brotli,47937,2.8687,1.77,271.17
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,parquet+gzip,53334,2.5784,50.97,322.04
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,parquet+snappy,70868,1.9404,80.14,5.09
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,parquet+zstd,49482,2.7791,14.91,369.73
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,polypress,31218,4.405,1.05,66.4
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,polypress+brotli,30998,4.4363,,
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,polypress+zstd,34762,3.9559,,
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,xz -9e,33024,4.1641,6.23,33.61
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,zstd -19,35745,3.8471,4.01,45.43
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,zstd -22,35745,3.8471,1.9,39.96
data_affordable_rental_housing_developments_s6ha-ppgi.csv,137515,598,14,zstd -3,42720,3.219,42.75,54.68
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,brotli -q11,21417,6.5657,1.14,48.38
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,bzip2 -9,16769,8.3856,20.02,46.58
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,feather+lz4,68250,2.0603,790.61,1265.65
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,feather+zstd,43514,3.2316,830.7,1394.31
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,gzip -9,26240,5.3589,12.15,76.39
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,lz4 -9,35777,3.9304,21.88,63.91
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,orc+snappy,25578,5.4976,262.36,813.51
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,orc+zlib,18186,7.7322,205.0,782.22
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,orc+zstd,16514,8.5151,344.91,1276.61
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,parquet+brotli,39530,3.5572,1.27,245.75
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,parquet+gzip,41373,3.3988,33.46,413.31
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,parquet+snappy,57242,2.4566,243.31,5.49
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,parquet+zstd,38445,3.6576,11.43,442.12
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,polypress,15074,9.3285,1.36,108.0
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,polypress+brotli,14366,9.7883,,
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,polypress+zstd,15200,9.2512,,
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,xz -9e,19112,7.3576,5.07,40.77
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,zstd -19,22973,6.121,3.41,46.58
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,zstd -22,22973,6.121,1.79,44.64
data_lottery_cash_4_life_winning_numbers_2014_kwxv-fwze.csv,140618,2949,3,zstd -3,29803,4.7182,41.07,55.92
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,brotli -q11,22410,7.5659,1.2,55.85
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,bzip2 -9,23993,7.0667,18.88,47.07
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,feather+lz4,93954,1.8046,774.68,839.61
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,feather+zstd,57066,2.9712,980.9,1121.69
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,gzip -9,30535,5.5527,23.33,90.67
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,lz4 -9,34836,4.8671,33.95,77.21
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,orc+snappy,53754,3.1542,169.24,373.5
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,orc+zlib,36280,4.6734,96.72,333.72
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,orc+zstd,35147,4.8241,153.9,489.77
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,parquet+brotli,32373,5.2375,3.66,380.3
data_new_liquor_licenses_dymb-xy5c.csv,169552,859,13,parquet+gzip,34867,4.8628,72.03,368.66
