dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,lz4 -9,14562,6.2585,26.82,46.04
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,orc+snappy,8492,10.7321,196.03,539.15
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,orc+zlib,7051,12.9254,183.78,695.01
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,orc+zstd,6990,13.0382,238.61,1111.21
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,parquet+brotli,9509,9.5843,8.01,310.02
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,parquet+gzip,10017,9.0982,105.71,307.77
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,parquet+snappy,12040,7.5695,222.76,3.43
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,parquet+zstd,9376,9.7202,53.17,378.1
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,polypress,2877,31.6778,3.9,198.16
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,polypress+brotli,2537,35.9231,,
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,polypress+zstd,3113,29.2763,,
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,xz -9e,5340,17.0669,5.85,31.48
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,zstd -19,6059,15.0416,2.96,33.16
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,zstd -22,6059,15.0416,1.45,29.78
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,zstd -3,9138,9.9734,29.92,38.81
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,brotli -q11,5362,17.6604,1.22,37.02
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,bzip2 -9,7194,13.1631,17.66,37.51
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,feather+lz4,15618,6.0632,947.92,902.68
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,feather+zstd,10322,9.1741,756.53,1028.96
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,gzip -9,9704,9.7583,21.47,50.61
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,lz4 -9,14374,6.5879,29.28,41.72
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,orc+snappy,8926,10.6089,192.15,562.58
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,orc+zlib,7218,13.1193,186.03,794.36
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,orc+zstd,7227,13.1029,259.42,1061.98
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,parquet+brotli,8280,11.4366,9.85,336.88
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,parquet+gzip,8767,10.8013,148.59,373.99
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,parquet+snappy,9850,9.6137,236.84,3.6
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,parquet+zstd,8235,11.4991,83.79,517.16
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,polypress,2657,35.6398,3.96,208.49
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,polypress+brotli,2417,39.1787,,
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,polypress+zstd,2841,33.3316,,
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,xz -9e,5516,17.1673,6.02,37.74
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,zstd -19,5997,15.7904,3.11,38.51
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,zstd -22,5997,15.7904,1.44,32.36
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,zstd -3,8798,10.7632,32.28,37.34
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,brotli -q11,9548,10.3819,1.19,36.54
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,bzip2 -9,11725,8.4542,16.92,35.23
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,feather+lz4,44090,2.2483,506.41,634.76
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,feather+zstd,28306,3.5019,269.28,510.77
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,gzip -9,12565,7.8891,27.93,52.56
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,lz4 -9,15952,6.214,32.62,49.49
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,orc+snappy,23985,4.1328,114.6,265.83
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,orc+zlib,16617,5.9653,71.12,302.37
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,orc+zstd,17214,5.7585,104.54,385.68
